Sequence_category,model,score
human,AB-LSTM,0.5222107172012329
human,AB-LSTM,0.9046409726142883
human,AB-LSTM,1.1037778854370117
human,AB-LSTM,0.5156159400939941
human,AB-LSTM,0.8316262364387512
human,AB-LSTM,0.6778894066810608
human,AB-LSTM,1.1851763725280762
human,AB-LSTM,0.7375974059104919
human,AB-LSTM,0.6669802665710449
human,AB-LSTM,0.5882331728935242
human,AB-LSTM,0.9289829134941101
human,AB-LSTM,1.1496052742004395
human,AB-LSTM,0.6261149644851685
human,AB-LSTM,0.9400417804718018
human,AB-LSTM,0.7824719548225403
human,AB-LSTM,0.598788321018219
human,AB-LSTM,1.117836356163025
human,AB-LSTM,0.6874661445617676
human,AB-LSTM,0.5944786667823792
human,AB-LSTM,0.5647244453430176
human,AB-LSTM,0.6019453406333923
human,AB-LSTM,1.0637295246124268
human,AB-LSTM,0.5542598366737366
human,AB-LSTM,0.5859185457229614
human,AB-LSTM,0.5142185091972351
human,AB-LSTM,0.4578275680541992
human,AB-LSTM,1.0573090314865112
human,AB-LSTM,0.8665811419487
human,AB-LSTM,0.42549094557762146
human,AB-LSTM,0.5167016983032227
human,AB-LSTM,0.9504482746124268
human,AB-LSTM,1.236981749534607
human,AB-LSTM,0.9738762974739075
human,AB-LSTM,1.001949667930603
human,AB-LSTM,0.8192411065101624
human,AB-LSTM,1.308157205581665
human,AB-LSTM,0.8004708290100098
human,AB-LSTM,0.6089915633201599
human,AB-LSTM,0.4547673165798187
human,AB-LSTM,0.7927810549736023
human,AB-LSTM,1.1498770713806152
human,AB-LSTM,1.1714978218078613
human,AB-LSTM,0.41946712136268616
human,AB-LSTM,0.584151566028595
human,AB-LSTM,1.153313398361206
human,AB-LSTM,0.6187105774879456
human,AB-LSTM,0.5325766205787659
human,AB-LSTM,0.5801976919174194
human,AB-LSTM,1.0060802698135376
human,AB-LSTM,0.8572253584861755
human,AB-LSTM,0.7879445552825928
human,AB-LSTM,0.6055972576141357
human,AB-LSTM,0.533075749874115
human,AB-LSTM,0.8897810578346252
human,AB-LSTM,0.8085596561431885
human,AB-LSTM,0.943368136882782
human,AB-LSTM,0.5323101282119751
human,AB-LSTM,0.8709763884544373
human,AB-LSTM,0.585618793964386
human,AB-LSTM,0.5009413957595825
human,AB-LSTM,1.0269140005111694
human,AB-LSTM,1.321609377861023
human,AB-LSTM,0.7442677021026611
human,AB-LSTM,0.4062788784503937
human,AB-LSTM,0.7330532670021057
human,AB-LSTM,0.42911773920059204
human,AB-LSTM,0.718746542930603
human,AB-LSTM,0.7137976288795471
human,AB-LSTM,0.788700520992279
human,AB-LSTM,0.6365237236022949
human,AB-LSTM,1.4759148359298706
human,AB-LSTM,0.6441064476966858
human,AB-LSTM,0.8983972668647766
human,AB-LSTM,0.6997477412223816
human,AB-LSTM,0.5139648914337158
human,AB-LSTM,0.8773539662361145
human,AB-LSTM,1.1042999029159546
human,AB-LSTM,0.5465117692947388
human,AB-LSTM,0.6345497369766235
human,AB-LSTM,0.6669145822525024
human,AB-LSTM,1.1350817680358887
human,AB-LSTM,1.140890121459961
human,AB-LSTM,1.0418912172317505
human,AB-LSTM,0.7247076630592346
human,AB-LSTM,0.5942139029502869
human,AB-LSTM,0.8358350992202759
human,AB-LSTM,1.4564242362976074
human,AB-LSTM,0.6001178026199341
human,AB-LSTM,1.6872835159301758
human,AB-LSTM,0.8940709829330444
human,AB-LSTM,0.6767533421516418
human,AB-LSTM,0.7601390480995178
human,AB-LSTM,0.5281980633735657
human,AB-LSTM,0.9110617637634277
human,AB-LSTM,0.6249949932098389
human,AB-LSTM,0.6063840985298157
human,AB-LSTM,0.9347482919692993
human,AB-LSTM,0.9046883583068848
human,AB-LSTM,0.39947834610939026
human,AB-LSTM,1.2084524631500244
human,AB-LSTM,0.9268513321876526
human,AB-LSTM,0.9629786014556885
human,AB-LSTM,1.510040283203125
human,AB-LSTM,0.5863581895828247
human,AB-LSTM,0.9649179577827454
human,AB-LSTM,1.3377368450164795
human,AB-LSTM,0.523777961730957
human,AB-LSTM,0.696430504322052
human,AB-LSTM,1.2292672395706177
human,AB-LSTM,0.5170882940292358
human,AB-LSTM,0.4530850350856781
human,AB-LSTM,0.47585442662239075
human,AB-LSTM,0.6661088466644287
human,AB-LSTM,0.5310021638870239
human,AB-LSTM,0.536217451095581
human,AB-LSTM,1.2050508260726929
human,AB-LSTM,0.42393672466278076
human,AB-LSTM,0.6437761187553406
human,AB-LSTM,0.5064169764518738
human,AB-LSTM,1.2194437980651855
human,AB-LSTM,0.8409534692764282
human,AB-LSTM,0.5298124551773071
human,AB-LSTM,0.5210659503936768
human,AB-LSTM,1.3140928745269775
human,AB-LSTM,0.5966380834579468
human,AB-LSTM,0.6026242971420288
human,AB-LSTM,0.5506798624992371
human,AB-LSTM,1.0432581901550293
human,AB-LSTM,1.0739126205444336
human,AB-LSTM,0.4553436040878296
